Transportadora;Cidade;Percentual;Minimo;Limite Peso;Valor Excedente;Pedagio;Cidade/Bairro para Redespacho;Redespacho;% Redespacho;Min. Redespacho (R$);prazo;horarios
VIOPEX;BELEM;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;MOJU;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;TAILANDIA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;GOIANESIA DO PARA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;JACUNDA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;BREU BRANCO;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;NOVO REPARTIMENTO;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;BENEVIDES;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;SANTA IZABEL;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;CASTANHAL;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;SANTA MARIA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;SAO MIGUEL;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;MAE DO RIO ;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;AURORA DO PARA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;IPIXUNA DO PARA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;PARAGOMINAS;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;CAPANEMA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;BRAGANCA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;BAIAO;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;IGARAPE-MIRI;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;MOCAJUBA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;SANTA MARIA DO ICATU;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;VILA CARAPAJO;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;VILA CARUCAMBABA;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;VILA AREIAO;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;VILA DO CARMO;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;VILA PORTO GRANDE;2,80%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;NOVA IPIXUNA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;VILA CRUZEIRO DO SUL;TRANSPRESSÃO;4,00%;80;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;VILA BREJO DO MEIO;TRANSPRESSÃO;4,00%;80;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;VILA SANTA FE;TRANSPRESSÃO;4,00%;80;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;VILA TRES PODERES;TRANSPRESSÃO;4,00%;80;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;VILA CAPISTRANO DE ABREU;TRANSPRESSÃO;4,00%;80;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;VILA UNIAO;TRANSPRESSÃO;4,00%;80;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;VILA PLANO DOURADO;TRANSPRESSÃO;4,00%;80;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;BOM JESUS DO TOCANTINS;R A TRANSPORTES;2,50%;20;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;ABEL FIGUEIREDO;R A TRANSPORTES;2,50%;25;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;RONDON DO PARA;R A TRANSPORTES;2,50%;30;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;BOM JESUS;R A TRANSPORTES;2,50%;20;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;DOM ELISEU;R A TRANSPORTES;2,50%;40;4;10:00 / 18:00
VIOPEX;MARABA;2,50%;55;90;1,75;;ULIANOPOLIS;R A TRANSPORTES;3,00%;45;4;10:00 / 18:00
VIOPEX;ITUPIRANGA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;ELDORADO DOS CARAJAS;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;PARUAPEBAS;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;CANAA DOS CARAJAS;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;XINGUARA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;OURILANDIA DO NORTE;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;TUCUMA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;TUCUMA;2,50%;55;90;1,75;;LINDOESTE;VAN;3,00%;;4;10:00 / 18:00
VIOPEX;TUCUMA;2,50%;55;90;1,75;;SUDOESTE;VAN;3,00%;;4;10:00 / 18:00
VIOPEX;TUCUMA;2,50%;55;90;1,75;;MINERASUL;VAN;3,00%;;4;10:00 / 18:00
VIOPEX;TUCUMA;2,50%;55;90;1,75;;AGROVILA DO CUCA;VAN;3,00%;;4;10:00 / 18:00
VIOPEX;TUCUMA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;TUCUMA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;SAO FELIX DO XINGU;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;SAO FELIX DO XINGU;2,50%;55;90;1,75;;VILA TABOCA;EDNA;;;4;10:00 / 18:00
VIOPEX;SAO FELIX DO XINGU;2,50%;55;90;1,75;;VILA TANCREDO NEVES;EDNA;;;4;10:00 / 18:00
VIOPEX;SAO FELIX DO XINGU;2,50%;55;90;1,75;;VILA NEREU;EDNA;;;4;10:00 / 18:00
VIOPEX;SAO FELIX DO XINGU;2,50%;55;90;1,75;;VILA BELAUTO;EDNA;;;4;10:00 / 18:00
VIOPEX;RIO MARIA ;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;CONCEICAO DO ARAGUAIA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;SANTANA DO ARAGUAIA;2,50%;55;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;PACAJA;3,00%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;ANAPU;3,00%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;ALTAMIRA;3,00%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;ALTAMIRA;3,00%;68;90;1,75;;SENADOR JOSE PORFIRIO;REDESPACHO;4,00%;;4;10:00 / 18:00
VIOPEX;BRASIL NOVO;3,00%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;MEDICILANDIA;3,00%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;URUARA;3,00%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;PLACAS;3,00%;68;90;1,75;;;;;;3;10:00 / 18:00
VIOPEX;RUROPOLIS;5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;SANTAREM;5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;DIVINOPOLIS(KM 70);5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;CAMPO VERDE(KM 30);5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;BELTERRA;5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;MOJUI DOS CAMPOS;5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;JURUTI;5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;OBIDOS;5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;ORIXIMINÁ;5,50%;85;90;1,75;;;;;;5;10:00 / 18:00
VIOPEX;TRAIRAO;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
VIOPEX;BELA VISTA DO CARACOL;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
VIOPEX;MORAES DE ALMEIDA;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
VIOPEX;NOVO PROGRESSO;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
VIOPEX;CASTELO DOS SONHOS;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
VIOPEX;CACHOEIRA DA SERRA ;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
VIOPEX;MONTE ALEGRE;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
VIOPEX;ALENQUER;6,00%;85;90;1,75;;;;;;7;10:00 / 18:00
